,nppes_provider_city,drug_name,total_claim
448,WINCHESTER,OXYCODONE HCL,867.0
449,MAYNARDVILLE,HYDROCODONE-ACETAMINOPHEN,862.0
450,MC KENZIE,MORPHINE SULFATE ER,861.0
451,PARIS,FENTANYL,858.0
452,TRACY CITY,HYDROCODONE-ACETAMINOPHEN,857.0
453,MOUNTAIN CITY,OXYCODONE-ACETAMINOPHEN,856.0
454,LINDEN,HYDROCODONE-ACETAMINOPHEN,853.0
455,LIVINGSTON,TRAMADOL HCL,850.0
456,GALLATIN,FENTANYL,849.0
457,MC MINNVILLE,OXYCODONE-ACETAMINOPHEN,846.0
458,CLEVELAND,FENTANYL,845.0
459,KINGSPORT,OXYCONTIN,843.0
460,MC KENZIE,TRAMADOL HCL,842.0
461,TRACY CITY,MORPHINE SULFATE ER,839.0
462,NASHVILLE,TRAMADOL HCL-ACETAMINOPHEN,839.0
463,BRUCETON,HYDROCODONE-ACETAMINOPHEN,829.0
464,CLINTON,TRAMADOL HCL,828.0
465,ONEIDA,MORPHINE SULFATE ER,828.0
466,BARTLETT,OXYCODONE HCL,824.0
467,CHURCH HILL,OXYCODONE HCL,824.0
468,CHURCH HILL,OXYCODONE-ACETAMINOPHEN,811.0
469,TAZEWELL,OXYCODONE-ACETAMINOPHEN,805.0
470,GOODLETTSVILLE,OXYCODONE HCL,801.0
471,TRACY CITY,OXYCODONE HCL,796.0
472,DOVER,HYDROCODONE-ACETAMINOPHEN,792.0
473,GERMANTOWN,ACETAMINOPHEN-CODEINE,789.0
474,JACKSBORO,TRAMADOL HCL,788.0
475,CHATTANOOGA,OXYMORPHONE HCL ER,787.0
476,MORRISTOWN,ACETAMINOPHEN-CODEINE,784.0
477,KINGSTON,TRAMADOL HCL,779.0
478,CLINTON,OXYCODONE-ACETAMINOPHEN,778.0
479,WHITE HOUSE,OXYCODONE-ACETAMINOPHEN,778.0
480,GOODLETTSVILLE,OXYCODONE-ACETAMINOPHEN,774.0
481,MOUNT JULIET,OXYCODONE-ACETAMINOPHEN,773.0
482,LIVINGSTON,OXYCODONE HCL,771.0
483,POWELL,OXYCODONE HCL,767.0
484,MONTEAGLE,HYDROCODONE-ACETAMINOPHEN,766.0
485,MADISON,TRAMADOL HCL,766.0
486,RUTLEDGE,HYDROCODONE-ACETAMINOPHEN,765.0
487,OLIVER SPRINGS,OXYCODONE-ACETAMINOPHEN,758.0
488,CROSSVILLE,FENTANYL,756.0
489,WAYNESBORO,TRAMADOL HCL,749.0
490,SPENCER,HYDROCODONE-ACETAMINOPHEN,746.0
491,ADAMSVILLE,TRAMADOL HCL,745.0
492,FAYETTEVILLE,OXYCODONE-ACETAMINOPHEN,745.0
493,KNOXVILLE,HYDROMORPHONE HCL,744.0
494,COVINGTON,TRAMADOL HCL,744.0
495,BRISTOL,OXYCONTIN,744.0
496,SALE CREEK,OXYCODONE-ACETAMINOPHEN,743.0
497,BOLIVAR,TRAMADOL HCL,743.0
498,SOMERVILLE,TRAMADOL HCL,741.0
499,ASHLAND CITY,TRAMADOL HCL,740.0
500,JACKSBORO,OXYCODONE-ACETAMINOPHEN,731.0
501,HERMITAGE,OXYCONTIN,730.0
502,SPRINGFIELD,MORPHINE SULFATE ER,727.0
503,SPARTA,OXYCODONE-ACETAMINOPHEN,723.0
504,PORTLAND,OXYCODONE HCL,723.0
505,HERMITAGE,FENTANYL,717.0
506,ATOKA,OXYCODONE-ACETAMINOPHEN,715.0
507,MAYNARDVILLE,OXYCODONE HCL,713.0
508,WAYNESBORO,OXYCODONE-ACETAMINOPHEN,713.0
509,ONEIDA,TRAMADOL HCL,712.0
510,TRENTON,TRAMADOL HCL,712.0
511,OLIVER SPRINGS,OXYCODONE HCL,711.0
512,HARRIMAN,ACETAMINOPHEN-CODEINE,709.0
513,GERMANTOWN,FENTANYL,709.0
514,GRAY,TRAMADOL HCL,708.0
515,WHITWELL,HYDROCODONE-ACETAMINOPHEN,708.0
516,ERIN,HYDROCODONE-ACETAMINOPHEN,704.0
517,ROGERSVILLE,OXYCODONE HCL,703.0
518,NASHVILLE,OXYMORPHONE HCL ER,697.0
519,MORRISTOWN,OXYCONTIN,695.0
520,HUNTINGDON,OXYCODONE-ACETAMINOPHEN,695.0
521,LA FOLLETTE,OPANA ER,692.0
522,TULLAHOMA,FENTANYL,691.0
523,HIXSON,OXYCODONE HCL,690.0
524,SELMER,OXYCODONE-ACETAMINOPHEN,688.0
525,JAMESTOWN,TRAMADOL HCL,680.0
526,SIGNAL MOUNTAIN,HYDROCODONE-ACETAMINOPHEN,679.0
527,MARTIN,OXYCODONE HCL,678.0
528,SPRING CITY,MORPHINE SULFATE ER,676.0
529,BRISTOL,HYDROMORPHONE HCL,675.0
530,MOUNT JULIET,TRAMADOL HCL,673.0
531,MILLINGTON,OXYCODONE-ACETAMINOPHEN,672.0
532,CLEVELAND,OXYCONTIN,671.0
533,CELINA,TRAMADOL HCL,671.0
534,MADISON,OXYCODONE HCL,667.0
535,CHATTANOOGA,TRAMADOL HCL-ACETAMINOPHEN,666.0
536,KINGSPORT,ACETAMINOPHEN-CODEINE,665.0
537,GERMANTOWN,MORPHINE SULFATE ER,659.0
538,GORDONSVILLE,OXYCODONE-ACETAMINOPHEN,655.0
539,ALAMO,TRAMADOL HCL,651.0
540,MADISONVILLE,OXYCODONE-ACETAMINOPHEN,651.0
541,RIPLEY,OXYCODONE-ACETAMINOPHEN,647.0
542,CLARKRANGE,HYDROCODONE-ACETAMINOPHEN,647.0
543,JACKSON,OXYCONTIN,645.0
544,ERWIN,OXYCODONE-ACETAMINOPHEN,642.0
545,MEMPHIS,MORPHINE SULFATE,641.0
546,JEFFERSON CITY,MORPHINE SULFATE ER,641.0
547,NEW JOHNSONVILLE,HYDROCODONE-ACETAMINOPHEN,640.0
548,DECATUR,HYDROCODONE-ACETAMINOPHEN,638.0
549,MARTIN,OXYCODONE-ACETAMINOPHEN,638.0
550,CORDOVA,ACETAMINOPHEN-CODEINE,636.0
551,CHATTANOOGA,MORPHINE SULFATE,634.0
552,LEWISBURG,MORPHINE SULFATE ER,631.0
553,ATHENS,FENTANYL,625.0
554,NEW TAZEWELL,TRAMADOL HCL,624.0
555,LOBELVILLE,HYDROCODONE-ACETAMINOPHEN,624.0
556,WHITE HOUSE,TRAMADOL HCL,623.0
557,DUNLAP,HYDROCODONE-ACETAMINOPHEN,623.0
558,WESTMORELAND,HYDROCODONE-ACETAMINOPHEN,623.0
559,DYERSBURG,OXYCODONE HCL,619.0
560,GOODLETTSVILLE,TRAMADOL HCL,619.0
561,BRENTWOOD,FENTANYL,618.0
562,LORETTO,HYDROCODONE-ACETAMINOPHEN,617.0
563,LAWRENCEBURG,MORPHINE SULFATE ER,616.0
564,CLARKRANGE,OXYCODONE-ACETAMINOPHEN,615.0
565,MADISONVILLE,OXYMORPHONE HCL ER,611.0
566,LAFAYETTE,TRAMADOL HCL,610.0
567,DYERSBURG,MORPHINE SULFATE ER,603.0
568,OOLTEWAH,OXYCODONE-ACETAMINOPHEN,596.0
569,MAYNARDVILLE,TRAMADOL HCL,588.0
570,MT PLEASANT,TRAMADOL HCL,587.0
571,SPRING HILL,OXYCODONE HCL,586.0
572,TAZEWELL,TRAMADOL HCL,585.0
573,MANCHESTER,FENTANYL,584.0
574,SPRING HILL,TRAMADOL HCL,582.0
575,KNOXVILLE,METHADONE HCL,581.0
576,BULLS GAP,HYDROCODONE-ACETAMINOPHEN,581.0
577,MT. JULIET,HYDROCODONE-ACETAMINOPHEN,580.0
578,CROSS PLAINS,HYDROCODONE-ACETAMINOPHEN,579.0
579,JOHNSON CITY,ACETAMINOPHEN-CODEINE,579.0
580,FARRAGUT,HYDROCODONE-ACETAMINOPHEN,578.0
581,MADISON,OXYCODONE-ACETAMINOPHEN,575.0
582,HARRIMAN,MORPHINE SULFATE ER,575.0
583,CELINA,OXYCODONE HCL,570.0
584,WARTBURG,MORPHINE SULFATE ER,570.0
585,LEOMA,OXYCODONE-ACETAMINOPHEN,564.0
586,CELINA,FENTANYL,560.0
587,HOHENWALD,TRAMADOL HCL,559.0
588,ATOKA,OXYCODONE HCL,558.0
589,LEBANON,OXYCONTIN,556.0
590,CAMDEN,TRAMADOL HCL,554.0
591,KIMBALL,TRAMADOL HCL,554.0
592,GLEASON,HYDROCODONE-ACETAMINOPHEN,553.0
593,WINCHESTER,MORPHINE SULFATE ER,549.0
594,BOLIVAR,OXYCODONE-ACETAMINOPHEN,548.0
595,CLEVELAND,OXYMORPHONE HCL ER,547.0
596,MILAN,OXYCODONE-ACETAMINOPHEN,546.0
597,WINFIELD,HYDROCODONE-ACETAMINOPHEN,544.0
598,ARLINGTON,TRAMADOL HCL,544.0
599,SODDY DAISY,HYDROCODONE-ACETAMINOPHEN,544.0
600,FRANKLIN,FENTANYL,541.0
601,MCMINNVILLE,OXYCODONE HCL,541.0
602,ROAN MOUNTAIN,TRAMADOL HCL,540.0
603,SEYMOUR,OXYCODONE-ACETAMINOPHEN,539.0
604,ENGLEWOOD,HYDROCODONE-ACETAMINOPHEN,538.0
605,CENTERVILLE,OXYCODONE-ACETAMINOPHEN,535.0
606,HUNTSVILLE,TRAMADOL HCL,532.0
607,DICKSON,FENTANYL,529.0
608,CENTERVILLE,TRAMADOL HCL,525.0
609,HARTSVILLE,OXYCODONE-ACETAMINOPHEN,525.0
610,NASHVILLE,OPANA ER,523.0
611,CARTHAGE,OXYCODONE HCL,523.0
612,KINGSPORT,OXYMORPHONE HCL ER,521.0
613,COLUMBIA,OXYCONTIN,521.0
614,CHATTANOOGA,OPANA ER,519.0
615,UNION CITY,FENTANYL,519.0
616,APISON,HYDROCODONE-ACETAMINOPHEN,516.0
617,MURFREESBORO,METHADONE HCL,515.0
618,ETOWAH,OXYCODONE HCL,512.0
619,SPARTA,ACETAMINOPHEN-CODEINE,511.0
620,BROWNSVILLE,ACETAMINOPHEN-CODEINE,506.0
621,DICKSON,ACETAMINOPHEN-CODEINE,501.0
622,CLEVELAND,HYDROMORPHONE HCL,500.0
623,MOUNTAIN CITY,OXYCODONE HCL,499.0
624,JONESBOROUGH,HYDROCODONE-ACETAMINOPHEN,498.0
625,HARROGATE,OXYCODONE-ACETAMINOPHEN,498.0
626,HENDERSONVILLE,METHADONE HCL,496.0
627,CHARLESTON,OXYCODONE HCL,494.0
628,NASHVILLE,BUTRANS,492.0
629,LEOMA,OXYCODONE HCL,490.0
630,WHITE HOUSE,MORPHINE SULFATE ER,489.0
631,CHARLESTON,OXYCODONE-ACETAMINOPHEN,487.0
632,ADAMSVILLE,OXYCODONE-ACETAMINOPHEN,485.0
633,MURFREESBORO,OXYMORPHONE HCL ER,483.0
634,PARIS,OXYCONTIN,479.0
635,SOUTH PITTSBURG,TRAMADOL HCL,478.0
636,MIDDLETON,HYDROCODONE-ACETAMINOPHEN,478.0
637,TULLAHOMA,OXYCONTIN,476.0
638,TALBOTT,HYDROCODONE-ACETAMINOPHEN,476.0
639,BARTLETT,MORPHINE SULFATE ER,476.0
640,SEVIERVILLE,MORPHINE SULFATE ER,475.0
641,WESTMORELAND,TRAMADOL HCL,474.0
642,CLARKSVILLE,METHADONE HCL,474.0
643,OAKLAND,HYDROCODONE-ACETAMINOPHEN,472.0
644,COVINGTON,OXYCODONE HCL,471.0
645,CARTHAGE,TRAMADOL HCL,471.0
646,VONORE,TRAMADOL HCL,469.0
647,DRESDEN,TRAMADOL HCL,468.0
648,COPPERHILL,OXYCODONE-ACETAMINOPHEN,466.0
649,MOUNT JULIET,MORPHINE SULFATE ER,465.0
650,GREENFIELD,HYDROCODONE-ACETAMINOPHEN,465.0
651,TAZEWELL,OXYCODONE HCL,464.0
652,HUMBOLDT,OXYCODONE-ACETAMINOPHEN,463.0
653,LOUDON,OXYCODONE HCL,461.0
654,GATLINBURG,OXYCODONE HCL,460.0
655,ANTIOCH,TRAMADOL HCL,459.0
656,BYRDSTOWN,TRAMADOL HCL,458.0
657,ATHENS,MORPHINE SULFATE ER,458.0
658,CORDOVA,MORPHINE SULFATE,457.0
659,NEWPORT,MORPHINE SULFATE ER,454.0
660,BRENTWOOD,OXYCONTIN,453.0
661,PIKEVILLE,TRAMADOL HCL,452.0
662,COLUMBIA,MORPHINE SULFATE,451.0
663,CLINTON,OXYMORPHONE HCL ER,451.0
664,DECHERD,HYDROCODONE-ACETAMINOPHEN,451.0
665,JELLICO,TRAMADOL HCL,449.0
666,HARTSVILLE,OXYCODONE HCL,447.0
667,RUTHERFORD,HYDROCODONE-ACETAMINOPHEN,446.0
668,SOMERVILLE,MORPHINE SULFATE ER,443.0
669,CHATTANOOGA,ENDOCET,443.0
670,HENDERSONVILLE,MORPHINE SULFATE,440.0
671,KIMBALL,HYDROCODONE-ACETAMINOPHEN,439.0
672,PLEASANT VIEW,TRAMADOL HCL,438.0
673,MANCHESTER,METHADONE HCL,437.0
674,COOKEVILLE,MORPHINE SULFATE,436.0
675,SMYRNA,MORPHINE SULFATE ER,436.0
676,LAWRENCEBURG,FENTANYL,435.0
677,SELMER,OXYCODONE HCL,433.0
678,TAZEWELL,MORPHINE SULFATE ER,433.0
679,FRANKLIN,OXYCONTIN,431.0
680,PIGEON FORGE,TRAMADOL HCL,429.0
681,MEMPHIS,HYDROMORPHONE HCL,428.0
682,BRIGHTON,TRAMADOL HCL,427.0
683,ANTIOCH,MORPHINE SULFATE,424.0
684,MICHIE,HYDROCODONE-ACETAMINOPHEN,423.0
685,SIGNAL MOUNTAIN,TRAMADOL HCL,421.0
686,BRENTWOOD,METHADONE HCL,421.0
687,JEFFERSON CITY,OXYMORPHONE HCL ER,419.0
688,PARSONS,TRAMADOL HCL,418.0
689,SMYRNA,OXYCODONE HCL,417.0
690,RIPLEY,TRAMADOL HCL,417.0
691,CAMDEN,FENTANYL,414.0
692,MT. JULIET,TRAMADOL HCL,413.0
693,FARRAGUT,TRAMADOL HCL,412.0
694,LOUDON,TRAMADOL HCL,411.0
695,OLIVER SPRINGS,TRAMADOL HCL,411.0
696,SAVANNAH,ACETAMINOPHEN-CODEINE,411.0
697,MARTIN,ACETAMINOPHEN-CODEINE,410.0
698,CROSSVILLE,OXYCONTIN,409.0
699,ROCKWOOD,HYDROCODONE-ACETAMINOPHEN,409.0
700,CROSSVILLE,OPANA ER,407.0
701,HALLS,TRAMADOL HCL,405.0
702,LIVINGSTON,MORPHINE SULFATE ER,402.0
703,MORRISTOWN,MORPHINE SULFATE,401.0
704,OAK RIDGE,FENTANYL,396.0
705,ALCOA,MORPHINE SULFATE ER,395.0
706,BRIGHTON,OXYCODONE-ACETAMINOPHEN,395.0
707,ASHLAND CITY,OXYCODONE-ACETAMINOPHEN,395.0
708,POWELL,MORPHINE SULFATE ER,393.0
709,SOUTH FULTON,HYDROCODONE-ACETAMINOPHEN,392.0
710,GAINESBORO,HYDROCODONE-ACETAMINOPHEN,392.0
711,CLARKSVILLE,HYDROMORPHONE HCL,390.0
712,MADISONVILLE,TRAMADOL HCL,389.0
713,SPRINGFIELD,FENTANYL,388.0
714,DAYTON,MORPHINE SULFATE ER,385.0
715,JASPER,OXYCODONE-ACETAMINOPHEN,385.0
716,SAVANNAH,OXYCODONE HCL,384.0
717,LINDEN,TRAMADOL HCL,384.0
718,MANCHESTER,OXYCONTIN,383.0
719,GREENEVILLE,FENTANYL,383.0
720,PULASKI,OXYCODONE HCL,383.0
721,GREENEVILLE,OXYCONTIN,381.0
722,JELLICO,OXYCODONE-ACETAMINOPHEN,381.0
723,LAFOLLETTE,HYDROCODONE-ACETAMINOPHEN,381.0
724,LA VERGNE,HYDROCODONE-ACETAMINOPHEN,378.0
725,LOUDON,OXYCODONE-ACETAMINOPHEN,378.0
726,CHATTANOOGA,EMBEDA,376.0
727,ATOKA,FENTANYL,376.0
728,COPPERHILL,TRAMADOL HCL,374.0
729,WOODBURY,TRAMADOL HCL,373.0
730,DECATUR,OXYCODONE-ACETAMINOPHEN,373.0
731,ERIN,TRAMADOL HCL,373.0
732,LIMESTONE,HYDROCODONE-ACETAMINOPHEN,372.0
733,SODDY DAISY,TRAMADOL HCL,372.0
734,MARYVILLE,MORPHINE SULFATE ER,371.0
735,GREENBRIER,TRAMADOL HCL,371.0
736,PIKEVILLE,OXYCODONE-ACETAMINOPHEN,370.0
737,BARTLETT,ACETAMINOPHEN-CODEINE,369.0
738,ANTIOCH,METHADONE HCL,369.0
739,ADAMSVILLE,OXYCODONE HCL,367.0
740,UNION CITY,OXYCONTIN,366.0
741,JAMESTOWN,FENTANYL,365.0
742,MEMPHIS,TRAMADOL HCL-ACETAMINOPHEN,363.0
743,HENDERSONVILLE,ACETAMINOPHEN-CODEINE,362.0
744,NASHVILLE,TRAMADOL HCL ER,360.0
745,MORRISTOWN,OXYMORPHONE HCL ER,359.0
746,WAYNESBORO,OXYCODONE HCL,359.0
747,OAK RIDGE,ACETAMINOPHEN-CODEINE,359.0
748,HIXSON,MORPHINE SULFATE ER,358.0
749,CHATTANOOGA,BUTRANS,357.0
750,WARTRACE,HYDROCODONE-ACETAMINOPHEN,357.0
751,ATOKA,MORPHINE SULFATE ER,356.0
752,DICKSON,OXYCONTIN,356.0
753,COLUMBIA,OXYMORPHONE HCL ER,355.0
754,CLARKSVILLE,OPANA ER,355.0
755,GALLATIN,ACETAMINOPHEN-CODEINE,354.0
756,BELLS,HYDROCODONE-ACETAMINOPHEN,352.0
757,RED BOILING SPRINGS,HYDROCODONE-ACETAMINOPHEN,352.0
758,GREENEVILLE,ACETAMINOPHEN-CODEINE,351.0
759,MILLINGTON,ACETAMINOPHEN-CODEINE,350.0
760,GRAY,OXYCODONE HCL,350.0
761,ERWIN,OXYCODONE HCL,349.0
762,WHITE HOUSE,OXYCODONE HCL,347.0
763,ALCOA,FENTANYL,347.0
764,LAFAYETTE,OXYCODONE-ACETAMINOPHEN,347.0
765,CHATTANOOGA,NUCYNTA ER,347.0
766,OAKFIELD,HYDROCODONE-ACETAMINOPHEN,346.0
767,LA FOLLETTE,MORPHINE SULFATE ER,344.0
768,UNION CITY,OXYMORPHONE HCL ER,344.0
769,NEWPORT,OXYMORPHONE HCL ER,344.0
770,VONORE,OXYCODONE-ACETAMINOPHEN,343.0
771,MARYVILLE,ACETAMINOPHEN-CODEINE,343.0
772,BRISTOL,OPANA ER,342.0
773,HENDERSON,OXYCODONE HCL,340.0
774,MORRISON,MORPHINE SULFATE ER,338.0
775,HIXSON,ACETAMINOPHEN-CODEINE,334.0
776,CLARKSVILLE,ACETAMINOPHEN-CODEINE,334.0
777,MAYNARDVILLE,MORPHINE SULFATE ER,334.0
778,KINGSTON,FENTANYL,332.0
779,PLEASANT VIEW,MORPHINE SULFATE ER,331.0
780,COUNCE,TRAMADOL HCL,331.0
781,CHURCH HILL,MORPHINE SULFATE ER,330.0
782,MONTEREY,HYDROCODONE-ACETAMINOPHEN,330.0
783,CORRYTON,HYDROCODONE-ACETAMINOPHEN,330.0
784,GORDONSVILLE,OXYCODONE HCL,329.0
785,CLINTON,MORPHINE SULFATE ER,329.0
786,CARTHAGE,MORPHINE SULFATE ER,329.0
787,ENGLEWOOD,OXYCODONE-ACETAMINOPHEN,327.0
788,MAYNARDVILLE,OXYCODONE-ACETAMINOPHEN,327.0
789,KNOXVILLE,XTAMPZA ER,325.0
790,SEYMOUR,OXYCODONE HCL,324.0
791,KINGSPORT,OPANA ER,322.0
792,CELINA,MORPHINE SULFATE ER,320.0
793,SEWANEE,OXYCODONE-ACETAMINOPHEN,320.0
794,MURFREESBORO,MORPHINE SULFATE,319.0
795,WOODBURY,OXYCODONE-ACETAMINOPHEN,319.0
796,DANDRIDGE,MORPHINE SULFATE ER,319.0
797,MOUNTAIN HOME,HYDROCODONE-ACETAMINOPHEN,319.0
798,SWEETWATER,OXYCODONE HCL,318.0
799,EAST RIDGE,FENTANYL,315.0
800,COOKEVILLE,OPANA ER,315.0
801,SNEEDVILLE,HYDROCODONE-ACETAMINOPHEN,311.0
802,MT JULIET,HYDROCODONE-ACETAMINOPHEN,309.0
803,CLINTON,ACETAMINOPHEN-CODEINE,309.0
804,HUNTINGDON,MORPHINE SULFATE ER,307.0
805,ERIN,OXYCODONE-ACETAMINOPHEN,306.0
806,DUNLAP,OXYCODONE-ACETAMINOPHEN,305.0
807,HUNTSVILLE,OXYCODONE-ACETAMINOPHEN,304.0
808,SPRING CITY,TRAMADOL HCL,303.0
809,WAVERLY,TRAMADOL HCL,302.0
810,DUNLAP,TRAMADOL HCL,302.0
811,SOUTH PITTSBURG,OXYCODONE-ACETAMINOPHEN,301.0
812,JEFFERSON CITY,FENTANYL,300.0
813,CELINA,ENDOCET,298.0
814,SPRING HILL,MORPHINE SULFATE ER,298.0
815,GAINESBORO,OXYCODONE-ACETAMINOPHEN,297.0
816,LENOIR CITY,MORPHINE SULFATE ER,297.0
817,S PITTSBURG,HYDROCODONE-ACETAMINOPHEN,296.0
818,OLD HICKORY,OXYCODONE-ACETAMINOPHEN,296.0
819,PARIS,ACETAMINOPHEN-CODEINE,292.0
820,JOHNSON CITY,OXYMORPHONE HCL ER,292.0
821,DOVER,TRAMADOL HCL,292.0
822,HIXSON,FENTANYL,289.0
823,LOUISVILLE,HYDROCODONE-ACETAMINOPHEN,288.0
824,LEXINGTON,OXYCODONE-ACETAMINOPHEN,288.0
825,GATLINBURG,TRAMADOL HCL,287.0
826,FAYETTEVILLE,OXYCODONE HCL,285.0
827,COOKEVILLE,OXYMORPHONE HCL ER,285.0
828,ELIZABETHTON,ACETAMINOPHEN-CODEINE,285.0
829,APISON,TRAMADOL HCL,283.0
830,KINGSPORT,MORPHINE SULFATE,283.0
831,RUTLEDGE,TRAMADOL HCL,283.0
832,NEW TAZEWELL,ACETAMINOPHEN-CODEINE,283.0
833,LIVINGSTON,ACETAMINOPHEN-CODEINE,282.0
834,JASPER,TRAMADOL HCL,280.0
835,GERMANTOWN,OXYCONTIN,280.0
836,LYLES,HYDROCODONE-ACETAMINOPHEN,280.0
837,LEBANON,MORPHINE SULFATE,279.0
838,WOODBURY,FENTANYL,278.0
839,KINGSPORT,HYDROMORPHONE HCL,277.0
840,DYERSBURG,ACETAMINOPHEN-CODEINE,277.0
841,CROSSVILLE,ACETAMINOPHEN-CODEINE,276.0
842,SEWANEE,TRAMADOL HCL,276.0
843,JEFFERSON CITY,OXYCONTIN,276.0
844,KNOXVILLE,ENDOCET,273.0
845,MANCHESTER,HYDROMORPHONE HCL,272.0
846,POWELL,FENTANYL,272.0
847,EAST RIDGE,OXYCODONE HCL,271.0
848,MOUNT JULIET,OXYCONTIN,271.0
849,MADISONVILLE,OPANA ER,270.0
850,PORTLAND,OXYCODONE-ACETAMINOPHEN,269.0
851,HARTSVILLE,MORPHINE SULFATE ER,269.0
852,DRESDEN,OXYCODONE HCL,268.0
853,CHATTANOOGA,TRAMADOL HCL ER,268.0
854,HALLS,OXYCODONE-ACETAMINOPHEN,267.0
855,JASPER,OXYCODONE HCL,265.0
856,PINEY FLATS,HYDROCODONE-ACETAMINOPHEN,265.0
857,MURFREESBORO,OPANA ER,262.0
858,SNEEDVILLE,TRAMADOL HCL,262.0
859,LYNCHBURG,HYDROCODONE-ACETAMINOPHEN,261.0
860,MORRISTOWN,OPANA ER,261.0
861,SHELBYVILLE,OXYCODONE HCL,259.0
862,BULLS GAP,TRAMADOL HCL,259.0
863,BARTLETT,FENTANYL,258.0
864,COOKEVILLE,HYDROMORPHONE HCL,258.0
865,GRAY,OXYCODONE-ACETAMINOPHEN,258.0
866,KNOXVILLE,TRAMADOL HCL-ACETAMINOPHEN,255.0
867,UNIONVILLE,HYDROCODONE-ACETAMINOPHEN,254.0
868,GALLATIN,OXYCONTIN,253.0
869,CLARKSVILLE,MORPHINE SULFATE,252.0
870,COOKEVILLE,ACETAMINOPHEN-CODEINE,252.0
871,ERIN,OXYCODONE HCL,252.0
872,BYRDSTOWN,OXYCODONE-ACETAMINOPHEN,251.0
873,COLLIERVILLE,OXYCODONE HCL,251.0
874,CORRYTON,MORPHINE SULFATE ER,251.0
875,HERMITAGE,MORPHINE SULFATE,251.0
876,SMYRNA,FENTANYL,250.0
877,EAST RIDGE,MORPHINE SULFATE ER,250.0
878,ASHLAND CITY,ACETAMINOPHEN-CODEINE,250.0
879,HARRISON,HYDROCODONE-ACETAMINOPHEN,249.0
880,PLEASANT VIEW,OXYMORPHONE HCL ER,249.0
881,TAZEWELL,ACETAMINOPHEN-CODEINE,248.0
882,SHELBYVILLE,FENTANYL,247.0
883,MOUNTAIN CITY,ACETAMINOPHEN-CODEINE,246.0
884,MURFREESBORO,ACETAMINOPHEN-CODEINE,245.0
885,MADISONVILLE,MORPHINE SULFATE ER,244.0
886,COLUMBIA,ACETAMINOPHEN-CODEINE,244.0
887,WARTBURG,TRAMADOL HCL,242.0
888,PALMER,HYDROCODONE-ACETAMINOPHEN,242.0
889,BON AQUA,HYDROCODONE-ACETAMINOPHEN,241.0
890,NEWPORT,MORPHINE SULFATE,241.0
891,COPPERHILL,OXYCODONE HCL,240.0
892,HOHENWALD,OXYCODONE-ACETAMINOPHEN,240.0
893,JAMESTOWN,OPANA ER,240.0
894,ARLINGTON,OXYCODONE-ACETAMINOPHEN,238.0
895,PIKEVILLE,OXYCODONE HCL,238.0
896,DAYTON,FENTANYL,238.0
897,SPARTA,MORPHINE SULFATE ER,237.0
898,HARRISON,TRAMADOL HCL,235.0
899,MORRISON,OXYCODONE-ACETAMINOPHEN,235.0
900,WHITE PINE,HYDROCODONE-ACETAMINOPHEN,235.0
901,NASHVILLE,OXYCODONE HCL ER,235.0
902,FARRAGUT,OXYCODONE-ACETAMINOPHEN,235.0
903,BEAN STATION,TRAMADOL HCL,233.0
904,CLEVELAND,MORPHINE SULFATE,233.0
905,GREENEVILLE,OXYMORPHONE HCL ER,233.0
906,MUNFORD,TRAMADOL HCL,232.0
907,ENGLEWOOD,TRAMADOL HCL,232.0
908,BLAINE,HYDROCODONE-ACETAMINOPHEN,232.0
909,HENDERSON,MORPHINE SULFATE ER,231.0
910,MADISON,MORPHINE SULFATE ER,231.0
911,DYERSBURG,FENTANYL,231.0
912,UNION CITY,OPANA ER,230.0
913,COLUMBIA,TRAMADOL HCL-ACETAMINOPHEN,227.0
914,LIVINGSTON,FENTANYL,227.0
915,SALE CREEK,TRAMADOL HCL,227.0
916,JACKSON,TRAMADOL HCL-ACETAMINOPHEN,226.0
917,SPRINGFIELD,ACETAMINOPHEN-CODEINE,224.0
918,LAKELAND,HYDROCODONE-ACETAMINOPHEN,224.0
919,WHITE BLUFF,HYDROCODONE-ACETAMINOPHEN,224.0
920,MAYNARDVILLE,ACETAMINOPHEN-CODEINE,223.0
921,BRISTOL,XTAMPZA ER,222.0
922,CLEVELAND,OPANA ER,222.0
923,HUNTINGDON,OXYCODONE HCL,222.0
924,COLUMBIA,OPANA ER,222.0
925,KINGSTON,MORPHINE SULFATE ER,222.0
926,HERMITAGE,OPANA ER,222.0
927,ANTIOCH,OPANA ER,220.0
928,SPRINGFIELD,MORPHINE SULFATE,219.0
929,DRESDEN,OXYCODONE-ACETAMINOPHEN,219.0
930,SALE CREEK,OXYCODONE HCL,219.0
931,CLARKRANGE,OXYCODONE HCL,219.0
932,SEWANEE,OXYCODONE HCL,219.0
933,SWEETWATER,ACETAMINOPHEN-CODEINE,218.0
934,ATOKA,TRAMADOL HCL,217.0
935,MANCHESTER,OPANA ER,217.0
936,MOUNTAIN HOME,OXYCODONE-ACETAMINOPHEN,217.0
937,LORETTO,TRAMADOL HCL,217.0
938,CLEVELAND,METHADONE HCL,217.0
939,JOELTON,HYDROCODONE-ACETAMINOPHEN,217.0
940,HARRIMAN,FENTANYL,217.0
941,FRANKLIN,TRAMADOL HCL-ACETAMINOPHEN,216.0
